Country,Year,Total renewable water resources per capita (m3/inhab/year)
Afghanistan,2022,1578.1722820485775
Afghanistan,2023,1527.145673018576
Afghanistan,2024,1476.119088346984
Afghanistan,2025,1425.0925280337897
Albania,2022,10628.645041391776
Albania,2023,10674.162565854902
Albania,2024,10715.902484927388
Albania,2025,10754.178310880734
Algeria,2022,259.7476893720499
Algeria,2023,255.41199645445093
Algeria,2024,251.0838174068624
Algeria,2025,246.7631392075497
Angola,2022,4165.600310007313
Angola,2023,4030.6024423174586
Angola,2024,3895.984112558259
Angola,2025,3761.744253682928
Antigua and Barbuda,2022,554.5697816774158
Antigua and Barbuda,2023,551.3312759688995
Antigua and Barbuda,2024,548.1105786366315
Antigua and Barbuda,2025,544.9075917532673
Argentina,2022,19261.77303628085
Argentina,2023,19173.13999874151
Argentina,2024,19086.99536162382
Argentina,2025,19003.269262302845
Armenia,2022,2798.5006560241786
Armenia,2023,2813.3146174677254
Armenia,2024,2828.058261978517
Armenia,2025,2842.731923327573
Australia,2022,18812.0903407544
Australia,2023,18655.871347147735
Australia,2024,18511.118751731356
Australia,2025,18376.990926452083
Austria,2022,8700.590646916376
Austria,2023,8693.030913059678
Austria,2024,8686.009215535898
Austria,2025,8679.487261582219
Azerbaijan,2022,3353.5453898213755
Azerbaijan,2023,3345.28090569321
Azerbaijan,2024,3337.4467424906265
Azerbaijan,2025,3330.0204939634436
Bahrain,2022,79.44709153964807
Bahrain,2023,79.58361167971228
Bahrain,2024,79.69177006998136
Bahrain,2025,79.77745879971822
Bangladesh,2022,7162.721482296473
Bangladesh,2023,7080.425209836635
Bangladesh,2024,6998.38179280838
Bangladesh,2025,6916.590454312981
Barbados,2022,283.9981819012617
Barbados,2023,283.50179906160974
Barbados,2024,283.00587239843173
Barbados,2025,282.5104014925009
Belarus,2022,6079.933350831902
Belarus,2023,6111.98462425348
Belarus,2024,6141.389882891884
Belarus,2025,6168.36757030599
Belgium,2022,1569.2462149465457
Belgium,2023,1562.499423525211
Belgium,2024,1555.7941325905642
Belgium,2025,1549.130086867129
Belize,2022,54091.38456973063
Belize,2023,53902.484355775785
Belize,2024,53753.4343295751
Belize,2025,53635.82773800324
Benin,2022,1975.11389175364
Benin,2023,1919.8015025444367
Benin,2024,1864.5477436851038
Benin,2025,1809.3525530282998
Bhutan,2022,100053.82393889285
Bhutan,2023,99832.48451069646
Bhutan,2024,99650.71668754869
Bhutan,2025,99501.44576098533
Bosnia and Herzegovina,2022,11637.410945997255
Bosnia and Herzegovina,2023,11808.686746632644
Bosnia and Herzegovina,2024,11978.425088630323
Bosnia and Herzegovina,2025,12146.639773000441
Botswana,2022,4658.215057718762
Botswana,2023,4588.07750298933
Botswana,2024,4518.333087138433
Botswana,2025,4448.979606522411
Brazil,2022,40166.89760353465
Brazil,2023,40005.314429636324
Brazil,2024,39858.75106264799
Brazil,2025,39725.811351013945
Brunei Darussalam,2022,18931.18068371104
Brunei Darussalam,2023,18778.996684350575
Brunei Darussalam,2024,18628.554240940713
Brunei Darussalam,2025,18479.83342354702
Bulgaria,2022,3139.4529627919396
Bulgaria,2023,3184.967450938361
Bulgaria,2024,3229.844462066181
Bulgaria,2025,3274.0929246938967
Burkina Faso,2022,594.8863094324389
Burkina Faso,2023,578.9552562988516
Burkina Faso,2024,563.0476565048516
Burkina Faso,2025,547.1634755229576
Burundi,2022,971.3563178341157
Burundi,2023,944.9583721441395
Burundi,2024,919.555138962519
Burundi,2025,895.1091360932568
Cabo Verde,2022,505.84607523852355
Cabo Verde,2023,501.44172104404583
Cabo Verde,2024,497.0560250246312
Cabo Verde,2025,492.6889081386128
Cambodia,2022,28375.921325224692
Cambodia,2023,28061.011546557
Cambodia,2024,27754.72867553003
Cambodia,2025,27456.836379262164
Cameroon,2022,10140.03345519869
Cameroon,2023,9872.210304699911
Cameroon,2024,9606.957232626566
Cameroon,2025,9344.249576050524
Canada,2022,75756.80981578086
Canada,2023,75508.38732544135
Canada,2024,75303.59643038924
Canada,2025,75134.77391098319
Central African Republic,2022,25484.160308028026
Central African Republic,2023,25222.52910821435
Central African Republic,2024,25028.882362778444
Central African Republic,2025,24885.554418540054
Chad,2022,2574.282967174406
Chad,2023,2488.5912567211462
Chad,2024,2403.0347613826775
Chad,2025,2317.613267799654
Chile,2022,47367.53409820655
Chile,2023,47352.985627222406
Chile,2024,47367.510447369925
Chile,2025,47353.009239610874
China,2022,1948.184342076727
China,2023,1948.2524777069063
China,2024,1948.316763969991
China,2025,1948.377418338498
Colombia,2022,45643.38753917704
Colombia,2023,45506.823095525644
Colombia,2024,45395.2294715072
Colombia,2025,45304.040750720116
Comoros,2022,1432.9678200852522
Comoros,2023,1405.472451474591
Comoros,2024,1378.034086104707
Comoros,2025,1350.6526057968078
Costa Rica,2022,21815.190771001064
Costa Rica,2023,21710.09084659263
Costa Rica,2024,21609.40802714018
Costa Rica,2025,21512.956672013603
Croatia,2022,26222.658933796352
Croatia,2023,26455.006912746467
Croatia,2024,26681.55032620864
Croatia,2025,26902.43418504397
Cuba,2022,3400.01159775038
Cuba,2023,3411.209990163214
Cuba,2024,3420.50931326123
Cuba,2025,3428.231619007739
Cyprus,2022,624.027022522995
Cyprus,2023,621.1756022021376
Cyprus,2024,618.3601822421101
Cyprus,2025,615.5803081234682
Czechia,2022,1253.940480928146
Czechia,2023,1256.1659817792831
Czechia,2024,1257.9096155488414
Czechia,2025,1259.2757164518316
Denmark,2022,1020.0526597168704
Denmark,2023,1015.2187730087386
Denmark,2024,1010.3965053261132
Denmark,2025,1005.5858287407945
Djibouti,2022,267.65686503021146
Djibouti,2023,263.96352607353896
Djibouti,2024,260.2764020382709
Djibouti,2025,256.59548246632346
Dominica,2022,2749.3061061465137
Dominica,2023,2738.6950326075184
Dominica,2024,2729.806230234531
Dominica,2025,2722.3601591715355
Dominican Republic,2022,2091.5573112282036
Dominican Republic,2023,2069.421535728132
Dominican Republic,2024,2047.3063116815272
Dominican Republic,2025,2025.2116200078635
Ecuador,2022,24867.51799145716
Ecuador,2023,24857.159320750692
Ecuador,2024,24867.45188190293
Ecuador,2025,24857.225008390447
El Salvador,2022,4147.231712739126
El Salvador,2023,4135.705845405479
El Salvador,2024,4125.682596278155
El Salvador,2025,4116.966070210299
Equatorial Guinea,2022,15552.584960415896
Equatorial Guinea,2023,15238.340598503975
Equatorial Guinea,2024,14959.977799909539
Equatorial Guinea,2025,14713.399477326791
Eritrea,2022,1983.6675067952413
Eritrea,2023,1947.7991186101988
