Country,Year,Total renewable water resources per capita (m3/inhab/year),Water Stress Index (%),Population (%)
Afghanistan,2015,1935.503042218,54.757019438,3.12134122890873
Afghanistan,2016,1886.176508877,54.757019438,2.58154939895659
Afghanistan,2017,1832.876970441,54.757019438,2.86649214750073
Afghanistan,2018,1780.750256005,54.757019438,2.88520797304849
Afghanistan,2019,1729.702583558,54.757019438,2.90852909268743
Afghanistan,2020,1676.321832238,54.757019438,3.13474690779163
Afghanistan,2021,1629.198915437,54.757019438,2.85135765449931
Albania,2015,10477.085538465,5.528846154,-0.291205786840436
Albania,2016,10482.242144653,6.5625,-0.159880412127734
Albania,2017,10488.460089152,6.556490385,-0.0919722937442495
Albania,2018,10496.998101851,5.757211539,-0.246732042281782
Albania,2019,10508.430579811,6.796875,-0.426007367032238
Albania,2020,10534.213695943,4.723557692,-0.574206959244013
Albania,2021,10579.008025334,4.783653846,-0.926918061639398
Algeria,2015,295.044750351,125.98846208,1.99994605069585
Algeria,2016,289.221469202,129.871957225,1.99343168879913
Algeria,2017,283.616422244,137.920360208,1.95700247075081
Algeria,2018,278.269326499,137.920360208,1.9033254281097
Algeria,2019,273.197505288,137.920360208,1.83944488568624
Algeria,2020,268.505239822,137.920360208,1.73245672803153
Algeria,2021,264.090909204,137.920360208,1.65770320084269
Angola,2015,5275.934015415,1.871883289,3.61767751762095
Angola,2016,5090.080359472,1.871883289,3.58621100683242
Angola,2017,4912.503805204,1.871883289,3.5509866361995
Angola,2018,4745.226578654,1.871883289,3.46445698360985
Angola,2019,4586.81738792,1.871883289,3.39527779197097
Angola,2020,4439.327584264,1.871883289,3.26834840458456
Angola,2021,4300.978785683,1.871883289,3.16602986153025
Antigua and Barbuda,2015,578.156791675,8.461538461,0.786935419380774
Antigua and Barbuda,2016,574.179585707,8.461538461,0.690288328652049
Antigua and Barbuda,2017,570.682294582,8.461538461,0.6109561448905
Antigua and Barbuda,2018,567.524501779,8.461538461,0.554872965946274
Antigua and Barbuda,2019,564.499495207,8.461538461,0.534443400511753
Antigua and Barbuda,2020,561.167227834,8.461538461,0.592053942582792
Antigua and Barbuda,2021,557.826194231,8.461538461,0.597151594527623
Argentina,2015,20256.575428777,10.456664077,1.07800134449604
Argentina,2016,20065.841442984,10.456664077,1.05718157762752
Argentina,2017,19889.856717852,10.456664077,1.03713389686514
Argentina,2018,19729.093766692,10.456664077,1.01580834908002
Argentina,2019,19582.74258518,10.456664077,0.993397493293046
Argentina,2020,19456.421027501,10.456664077,0.970053991438048
Argentina,2021,19352.96635494,10.456664077,0.947490959333989
Armenia,2015,2698.886088526,66.007665927,-0.392995248824912
Armenia,2016,2710.90275609,64.192051644,-0.444257166904663
Armenia,2017,2724.126843537,57.79705467,-0.486625263030829
Armenia,2018,2738.883794685,54.750857373,-0.54025108197947
Armenia,2019,2754.376547985,57.79705467,-0.564065542556681
Armenia,2020,2769.096751934,57.090982449,-0.533006606500067
Armenia,2021,2783.616042285,59.854750857,-0.522963242641951
Australia,2015,20654.707199375,3.707277845,1.43921665259925
Australia,2016,20334.190772154,4.271411339,1.56194049810399
Australia,2017,20007.861625629,4.84866963,1.64682779735017
Australia,2018,19696.363738994,4.957780458,1.49599671041328
Australia,2019,19402.796132218,4.246079614,1.47749071058438
Australia,2020,19166.303954753,3.486127865,1.23342825131378
Australia,2021,18980.684029132,4.599919582,0.14089508329287
Austria,2015,8990.536332354,9.10626017,1.12099250236958
Austria,2016,8893.734976084,8.998802616,1.08139629872802
Austria,2017,8832.058576668,8.891345062,0.694621103604983
Austria,2018,8789.082714996,8.783887507,0.487071924768999
Austria,2019,8750.059122021,8.676429953,0.444673639004876
Austria,2020,8722.714993876,8.676429953,0.415176731565556
Austria,2021,8708.729644045,8.676429953,0.435671684056384
Azerbaijan,2015,3515.493517501,51.618458821,1.19120985807018
Azerbaijan,2016,3475.755614736,52.45308015,1.11785721013911
Azerbaijan,2017,3442.8604804,53.52174873,0.98126180450475
Azerbaijan,2018,3415.407521402,53.729300066,0.866316916370841
Azerbaijan,2019,3388.628651547,55.597262089,0.846646726414021
Azerbaijan,2020,3371.430743812,53.888628836,0.684365325388407
Azerbaijan,2021,3362.263831873,57.265886509,0.441197735816311
Bahrain,2015,85.159990662,137.155172414,3.81660491261165
Bahrain,2016,82.289287992,133.706896552,3.42907892150581
Bahrain,2017,79.624720455,133.706896552,3.29163380324261
Bahrain,2018,77.991582288,133.706896552,2.07237016433842
Bahrain,2019,77.634139747,133.706896552,0.459362584678761
Bahrain,2020,78.512645612,133.706896552,-1.12524267833833
Bahrain,2021,79.274772512,133.706896552,-0.966024840061971
Bangladesh,2015,7774.390166635,5.723339482,1.19106112723824
Bangladesh,2016,7679.289779724,5.723339482,1.23079535447054
Bangladesh,2017,7583.917036608,5.723339482,1.24972406577957
Bangladesh,2018,7496.348542598,5.723339482,1.16137846270492
Bangladesh,2019,7413.363990389,5.723339482,1.1131724900167
Bangladesh,2020,7329.02299665,5.723339482,1.14420974001656
Bangladesh,2021,7245.271389481,5.723339482,1.14931847631384
Barbados,2015,287.683892938,87.5,0.212392263810218
Barbados,2016,287.099541,87.5,0.203329499651748
Barbados,2017,286.546293345,87.5,0.192888292188534
Barbados,2018,286.033008209,87.5,0.179288797746607
Barbados,2019,285.530730245,87.5,0.175755759089405
Barbados,2020,285.008888715,87.5,0.182929163306018
Barbados,2021,284.495021337,87.5,0.180461453548187
Belarus,2015,5968.697429203,4.772577455,0.132853236725342
Belarus,2016,5964.085697422,4.785761371,0.0877210878706449
